channelId,title,channelTitle,publishedAt
"UCdpxBSzxXGz_J4K30YGvk_Q","IVAN GUNAWAN MEMUJI SETAN?!? ADA APA DENGAN IGUN??? | #DrinksWithBoy","BW.","2021-12-28T14:00:04Z"
"UCndQNjmZqLxLIRB_wIoBFSg","Woow!! Nasib Selebritis Di Tahun 2022?!? | Ramalan Asik","VDVC entertainment","2022-01-06T10:00:09Z"
"UCZAoGCaaxobl_C6khvgQAtg","The floor is lava! With Joker 🃏 #shorts","German Spidey","2022-01-05T09:07:05Z"
"UCl0AXmYD5-9ZwQfafFi81ZA","Daniel, Thomas, Roby, Maydea & Alvin  - TALKING TO THE MOON (Bruno Mars)- X Factor Indonesia 2021","X Factor Indonesia","2022-01-04T08:35:13Z"
"UCER4rvDnRBPr_ncYW4UCZjg","[BREAKING NEWS] Jakarta Diguncang Gempa | tvOne","tvOneNews ","2022-01-14T09:18:03Z"
"UCdygRiDGTM9kjc-7hrrB-7Q","SOSOK Brigjen TNI Achmad Fauzi, Jenderal Berdarah Kopassus Datangi Habib Bahar Bin Smith","HARIAN SURYA","2021-12-31T18:17:19Z"
"UCJCSL8IJfD4d5nunRrmrT1Q","pas aku lahiran ayang 🥰","tasya farasya","2022-01-03T18:31:22Z"
"UCl0AXmYD5-9ZwQfafFi81ZA","DANAR WIDIANTO - JIKALAU (Naif) - X Factor Indonesia 2021","X Factor Indonesia","2022-01-05T05:47:01Z"
"UCsLdlVfYygg-AlUVIsH2Zjw","LIHAT TOYOTA MR2 ANDRE TAULANY BERSAMA BUNG FITRA","Om Mobi","2022-01-04T12:09:00Z"
"UC_nVG23zK0hZUxJXEhArTkw","Tantangan Plat Besar, Sedang, dan Kecil #3 Multi DO Challenge","Multi DO Indonesian","2022-01-09T23:00:02Z"
